Norm 9.725309, Time 27424953
Norm 9.766264, Time 19
Norm 9.793721, Time 0
Norm 9.807832, Time 1
Norm 9.7803955, Time 7
Norm 9.793882, Time 0
Norm 9.807568, Time 0
Norm 9.76671, Time 1
Norm 9.726044, Time 42
Norm 9.76671, Time 1
Norm 9.725576, Time 0
Norm 9.77996, Time 10
Norm 9.76634, Time 22
Norm 9.752549, Time 19
Norm 9.698242, Time 20
Norm 9.739558, Time 20
Norm 9.753119, Time 20
Norm 9.794034, Time 21
Norm 9.78033, Time 20
Norm 9.807265, Time 20
Norm 9.75293, Time 20
Norm 9.752787, Time 20
Norm 9.739253, Time 21
Norm 9.766407, Time 20
Norm 9.835372, Time 20
Norm 9.794261, Time 20
Norm 9.766482, Time 20
Norm 9.807341, Time 20
Norm 9.767024, Time 20
Norm 9.684996, Time 21
Norm 9.698338, Time 20
Norm 9.698338, Time 20
Norm 9.684574, Time 20
Norm 9.7122345, Time 21
Norm 9.753024, Time 19
Norm 9.766407, Time 20
Norm 9.684622, Time 20
Norm 9.725576, Time 20
Norm 9.739196, Time 20
Norm 9.725939, Time 25
Norm 9.725739, Time 20
Norm 9.739196, Time 20
Norm 9.725739, Time 20
Norm 9.712348, Time 22
Norm 9.780169, Time 19
Norm 9.739853, Time 21
Norm 9.794015, Time 19
Norm 9.752977, Time 21
Norm 9.780054, Time 20
Norm 9.820912, Time 20
Norm 9.807501, Time 20
Norm 9.82112, Time 20
Norm 9.780708, Time 20
Norm 9.766435, Time 20
Norm 9.766597, Time 20
Norm 9.793882, Time 21
Norm 9.780263, Time 20
Norm 9.739329, Time 20
Norm 9.766435, Time 20
Norm 9.821187, Time 21
Norm 9.821451, Time 20
Norm 9.739196, Time 19
Norm 9.739196, Time 21
Norm 9.698452, Time 20
Norm 9.712549, Time 20
Norm 9.712071, Time 20
Norm 9.698309, Time 20
Norm 9.753091, Time 20
Norm 9.793882, Time 20
Norm 9.780215, Time 21
Norm 9.75293, Time 20
Norm 9.76671, Time 20
Norm 9.766482, Time 20
